alg;inst;repl ;tempo
full;87;5;16.78
full;88;5;24.23
full;89;5;19.53
full;90;5;12.9
full;91;5;12.5
full;92;5;24.23
full;93;5;25.4
full;94;5;28.53
full;95;5;25
full;96;5;33.6
full;97;5;27.35
full;98;5;45.3
full;99;5;67.2
full;100;5;46.05
full;101;5;39.8
full;102;5;46.75
full;103;5;23.38
full;104;5;52.75
full;105;5;13.63
full;106;5;46.88
full;107;5;58.63
full;108;5;72.25
full;109;5;25.38
full;110;5;29.38
full;111;5;37
full;112;5;50.75
full;113;5;56.63
full;114;5;91.75
full;115;5;37.13
full;116;5;31.25
full;117;5;52.75
full;118;5;74.13
full;119;5;70.38
full;120;5;46.88
full;121;5;50.75
full;122;5;31.25
full;123;5;78.25
full;124;5;130.88
full;125;5;50.88
full;126;5;62.5
full;127;5;95.75
full;128;5;123
full;129;5;99.63
full;130;5;60.5
full;131;5;76.13
full;132;5;95.63
full;133;5;78.13
full;134;5;50.88
full;135;5;44.88
full;136;5;56.63
full;137;5;85.88
full;138;5;82.13
full;139;5;132.75
full;140;5;87.88
full;141;5;76.38
full;142;5;160.13
full;143;5;158.13
full;144;5;158.13
full;145;5;156.25
full;146;5;177.75
full;147;5;154.25
full;148;5;332
full;149;5;350
full;150;5;281.25
full;151;5;89.75
full;152;5;363.25
full;153;5;371.25
full;154;5;429.5
full;155;5;375
full;156;5;328
full;157;5;156.5
full;158;5;367.5
full;159;5;187.5
full;160;5;320.5
full;161;5;273
full;162;5;453
full;163;5;414.5
full;164;5;437.5
full;165;5;476.5
full;166;5;594
full;167;5;570
full;168;5;539
full;169;5;1055
full;170;5;507.5
full;171;5;507.5
full;172;5;312.5
full;173;5;392.5
full;174;5;897.5
full;175;5;587.5
full;176;5;470
full;177;5;625
full;178;5;275
full;179;5;977.5
full;0;6;4.68
full;1;6;5.85
full;2;6;3.13
full;3;6;5.08
full;4;6;7.03
full;5;6;4.68
full;6;6;5.85
full;7;6;3.5
full;8;6;7.4
full;9;6;6.63
full;10;6;5.08
full;11;6;5.08
full;12;6;8.58
full;13;6;5.08
full;14;6;8.2
full;15;6;4.68
full;16;6;3.9
full;17;6;7.03
full;18;6;7.4
full;19;6;8.2
full;20;6;3.9
full;21;6;6.25
full;22;6;5.85
full;23;6;7.03
full;24;6;10.53
full;25;6;5.08
full;26;6;5.88
full;27;6;4.28
full;28;6;8.2
full;29;6;3.9
full;30;6;5.45
full;31;6;5.45
full;32;6;5.45
full;33;6;3.9
full;34;6;5.48
full;35;6;4.68
full;36;6;3.13
full;37;6;5.08
full;38;6;6.25
full;39;6;6.63
full;40;6;3.9
full;41;6;8.58
full;42;6;5.85
full;43;6;7.4
full;44;6;9.75
full;45;6;5.08
full;46;6;4.68
full;47;6;9.38
full;48;6;10.15
full;49;6;12.1
full;50;6;3.9
full;51;6;3.5
full;52;6;6.65
full;53;6;8.2
full;54;6;8.58
full;55;6;9.38
full;56;6;5.08
full;57;6;10.15
full;58;6;9.75
full;59;6;16
full;60;6;8.98
full;61;6;6.65
full;62;6;7.43
full;63;6;15.23
full;64;6;16.8
full;65;6;5.08
full;66;6;10.15
full;67;6;10.15
full;68;6;10.18
full;69;6;12.1
full;70;6;4.7
full;71;6;11.73
full;72;6;8.6
full;73;6;14.08
full;74;6;18.35
full;75;6;6.25
full;76;6;13.68
full;77;6;12.1
full;78;6;14.05
full;79;6;14.05
full;80;6;10.55
full;81;6;8.2
full;82;6;10.53
full;83;6;19.9
full;84;6;22.25
full;85;6;5.85
full;86;6;12.88
full;87;6;10.15
full;88;6;23.83
full;89;6;22.25
full;90;6;23.25
full;91;6;14.48
full;92;6;21.1
full;93;6;26.55
full;94;6;20.73
full;95;6;16.4
full;96;6;37.5
full;97;6;38.25
full;98;6;42.15
full;99;6;60.15
full;100;6;39.85
full;101;6;52.35
full;102;6;62.5
full;103;6;37.13
full;104;6;42.88
full;105;6;13.63
full;106;6;50.75
full;107;6;50.75
full;108;6;84
full;109;6;50.75
full;110;6;29.25
full;111;6;52.63
full;112;6;56.63
full;113;6;56.63
full;114;6;56.63
full;115;6;48.75
full;116;6;50.75
full;117;6;50.75
full;118;6;33.25
full;119;6;85.88
full;120;6;41
full;121;6;84
full;122;6;31.25
full;123;6;113.25
full;124;6;72.25
full;125;6;68.38
full;126;6;78.13
full;127;6;52.75
full;128;6;87.88
full;129;6;128.88
full;130;6;42.88
full;131;6;29.25
full;132;6;39
full;133;6;91.75
full;134;6;101.5
full;135;6;107.38
full;136;6;56.63
full;137;6;64.5
full;138;6;152.38
full;139;6;193.38
full;140;6;125
full;141;6;54.63
full;142;6;146.5
full;143;6;175.75
full;144;6;185.5
full;145;6;109.38
full;146;6;168
full;147;6;136.63
full;148;6;272.5
full;149;6;427.5
full;150;6;156.25
full;151;6;351.5
full;152;6;269.5
full;153;6;414.25
full;154;6;640.5
full;155;6;336
full;156;6;273.5
full;157;6;117
full;158;6;351.5
full;159;6;367
full;160;6;344
full;161;6;101.5
full;162;6;164
full;163;6;453
full;164;6;468.5
full;165;6;469
full;166;6;250
full;167;6;445
full;168;6;648.5
full;169;6;1052.5
full;170;6;470
full;171;6;507.5
full;172;6;312.5
full;173;6;390
full;174;6;860
full;175;6;470
full;176;6;507.5
full;177;6;585
full;178;6;275
full;179;6;900
full;0;7;5.08
full;1;7;5.08
full;2;7;4.68
full;3;7;6.63
full;4;7;6.25
full;5;7;4.3
full;6;7;5.85
full;7;7;5.85
full;8;7;9.38
full;9;7;8.2
full;10;7;4.28
full;11;7;7.03
full;12;7;8.2
full;13;7;6.25
full;14;7;7.8
full;15;7;3.13
full;16;7;6.25
full;17;7;8.2
full;18;7;6.63
full;19;7;11.7
full;20;7;4.28
full;21;7;7
full;22;7;6.63
full;23;7;5.5
full;24;7;7.4
full;25;7;5.08
full;26;7;5.08
full;27;7;5.85
full;28;7;8.58
full;29;7;6.65
full;30;7;5.08
full;31;7;5.45
full;32;7;6.63
full;33;7;8.2
full;34;7;5.45
full;35;7;2.73
full;36;7;3.5
full;37;7;6.23
full;38;7;5.45
full;39;7;7.8
full;40;7;5.85
full;41;7;7.03
full;42;7;5.08
full;43;7;9
full;44;7;10.55
full;45;7;5.08
full;46;7;3.9
full;47;7;8.2
full;48;7;12.5
full;49;7;7.8
full;50;7;6.25
full;51;7;8.2
full;52;7;8.98
full;53;7;8.6
full;54;7;10.53
full;55;7;5.45
full;56;7;8.98
full;57;7;7.8
full;58;7;14.85
full;59;7;9.75
full;60;7;6.25
full;61;7;5.85
full;62;7;7.03
full;63;7;10.15
full;64;7;7.03
full;65;7;6.63
full;66;7;10.53
full;67;7;12.1
full;68;7;7.43
full;69;7;13.28
full;70;7;4.68
full;71;7;9.38
full;72;7;6.63
full;73;7;6.25
full;74;7;16.03
full;75;7;5.9
full;76;7;9.78
full;77;7;13.28
full;78;7;13.68
full;79;7;16.8
full;80;7;5.08
full;81;7;7.4
full;82;7;17.95
full;83;7;16
full;84;7;16.78
full;85;7;12.1
full;86;7;14.05
full;87;7;10.55
full;88;7;16
full;89;7;19.13
full;90;7;17.18
full;91;7;30.08
full;92;7;23.05
full;93;7;12.88
full;94;7;37.13
full;95;7;18.75
full;96;7;21.05
full;97;7;39.05
full;98;7;64.85
full;99;7;64.05
full;100;7;27.6
full;101;7;43.75
full;102;7;58.75
full;103;7;64.38
full;104;7;48.88
full;105;7;11.75
full;106;7;48.75
full;107;7;45
full;108;7;64.5
full;109;7;56.63
full;110;7;39
full;111;7;52.75
full;112;7;35.13
full;113;7;50.75
full;114;7;74.13
full;115;7;21.5
full;116;7;44.88
full;117;7;41
full;118;7;29.38
full;119;7;62.5
full;120;7;58.63
full;121;7;68.25
full;122;7;54.63
full;123;7;115.25
full;124;7;101.5
full;125;7;74.25
full;126;7;95.75
full;127;7;91.75
full;128;7;107.38
full;129;7;103.5
full;130;7;60.5
full;131;7;23.38
full;132;7;82
full;133;7;89.88
full;134;7;121.13
full;135;7;66.38
full;136;7;93.75
full;137;7;54.75
full;138;7;140.63
full;139;7;185.5
full;140;7;146.5
full;141;7;115.13
full;142;7;101.63
full;143;7;126.88
full;144;7;156.25
full;145;7;46.88
full;146;7;170
full;147;7;138.63
full;148;7;312.5
full;149;7;467.5
full;150;7;207
full;151;7;316.25
full;152;7;285.25
full;153;7;476.75
full;154;7;406
full;155;7;273.5
full;156;7;273.5
full;157;7;382.5
full;158;7;148
full;159;7;586
full;160;7;265.5
full;161;7;101.5
full;162;7;125
full;163;7;351.5
full;164;7;352
full;165;7;414
full;166;7;234
full;167;7;625
full;168;7;484.5
full;169;7;1092.5
full;170;7;467.5
full;171;7;507.5
full;172;7;782.5
full;173;7;430
full;174;7;937.5
full;175;7;665
full;176;7;467.5
full;177;7;625
full;178;7;275
full;179;7;860
full;0;8;5.88
full;1;8;4.28
full;2;8;5.45
full;3;8;6.25
full;4;8;6.63
full;5;8;5.08
full;6;8;3.9
full;7;8;4.68
full;8;8;6.23
full;9;8;6.25
full;10;8;7.8
full;11;8;8.98
full;12;8;7.8
full;13;8;7.03
full;14;8;8.98
full;15;8;4.68
full;16;8;6.25
full;17;8;6.63
full;18;8;8.2
full;19;8;8.98
full;20;8;3.5
full;21;8;6.25
full;22;8;6.63
full;23;8;6.63
full;24;8;7.43
full;25;8;5.45
full;26;8;4.68
full;27;8;5.08
full;28;8;7.4
full;29;8;6.25
full;30;8;3.9
full;31;8;3.9
full;32;8;5.08
full;33;8;5.08
full;34;8;9.35
full;35;8;2.78
full;36;8;5.08
full;37;8;5.08
full;38;8;5.85
full;39;8;5.45
full;40;8;5.85
full;41;8;4.3
full;42;8;8.2
full;43;8;8.2
full;44;8;11.7
full;45;8;3.23
full;46;8;8.58
full;47;8;7.83
full;48;8;12.1
full;49;8;8.98
full;50;8;4.68
full;51;8;7.8
full;52;8;12.88
full;53;8;5.08
full;54;8;12.88
full;55;8;7.03
full;56;8;8.58
full;57;8;5.48
full;58;8;20.7
full;59;8;11.7
full;60;8;6.25
full;61;8;5.85
full;62;8;7.4
full;63;8;10.53
full;64;8;10.15
full;65;8;7.4
full;66;8;9.38
full;67;8;8.98
full;68;8;8.58
full;69;8;13.28
full;70;8;4.68
full;71;8;10.95
full;72;8;6.63
full;73;8;7.4
full;74;8;17.58
full;75;8;8.2
full;76;8;7.8
full;77;8;13.68
full;78;8;17.58
full;79;8;11.33
full;80;8;5.08
full;81;8;10.93
full;82;8;18.35
full;83;8;14.83
full;84;8;23.83
full;85;8;6.25
full;86;8;7.03
full;87;8;14.05
full;88;8;13.28
full;89;8;16
full;90;8;15.63
full;91;8;17.98
full;92;8;22.68
full;93;8;13.28
full;94;8;24.23
full;95;8;16.4
full;96;8;24.2
full;97;8;30.45
full;98;8;40.6
full;99;8;39.05
full;100;8;24.25
full;101;8;22.65
full;102;8;62.5
full;103;8;58.63
full;104;8;62.5
full;105;8;11.63
full;106;8;17.5
full;107;8;70.25
full;108;8;39.13
full;109;8;58.5
full;110;8;33.25
full;111;8;48.88
full;112;8;27.38
full;113;8;52.75
full;114;8;80
full;115;8;25.38
full;116;8;46.88
full;117;8;52.75
full;118;8;35.13
full;119;8;64.38
full;120;8;58.5
full;121;8;43
full;122;8;85.88
full;123;8;113.25
full;124;8;93.75
full;125;8;27.38
full;126;8;82.13
full;127;8;60.5
full;128;8;103.5
full;129;8;46.88
full;130;8;66.5
full;131;8;21.5
full;132;8;91.75
full;133;8;85.88
full;134;8;42.88
full;135;8;31.25
full;136;8;70.38
full;137;8;76.75
full;138;8;144.63
full;139;8;177.63
full;140;8;113.25
full;141;8;93.75
full;142;8;175.88
full;143;8;193.38
full;144;8;138.63
full;145;8;43
full;146;8;129
full;147;8;187.5
full;148;8;232.5
full;149;8;427.5
full;150;8;246
full;151;8;257.75
full;152;8;382.75
full;153;8;191.25
full;154;8;578
full;155;8;281.5
full;156;8;382.5
full;157;8;437.5
full;158;8;453
full;159;8;539
full;160;8;273.5
full;161;8;94
full;162;8;133
full;163;8;328.5
full;164;8;312.5
full;165;8;414
