alg;inst;repl;dist; 
full;81;4;499.25;
full;82;4;488.43;
full;83;4;464.31;
full;84;4;632.64;
full;85;4;858.66;
full;86;4;818.34;
full;87;4;849.04;
full;88;4;1125.54;
full;89;4;824.54;
full;90;4;583.81;
full;91;4;616.1;
full;92;4;666.76;
full;93;4;605.96;
full;94;4;686.82;
full;95;4;407.1;
full;96;4;439.63;
full;97;4;446.37;
full;98;4;426.16;
full;99;4;461.17;
full;100;4;688.54;
full;101;4;794.37;
full;102;4;887.62;
full;103;4;969.15;
full;104;4;886.77;
full;105;4;754.46;
full;106;4;778.43;
full;107;4;940.09;
full;108;4;978.26;
full;109;4;1274.59;
full;110;4;689.46;
full;111;4;798.92;
full;112;4;939.63;
full;113;4;890.62;
full;114;4;997.02;
full;115;4;725.46;
full;116;4;829.68;
full;117;4;985.37;
full;118;4;868.94;
full;119;4;1011.67;
full;120;4;921.85;
full;121;4;1067.91;
full;122;4;1039.65;
full;123;4;1166.51;
full;124;4;1168.84;
full;125;4;773.02;
full;126;4;808.73;
full;127;4;972.12;
full;128;4;1102.05;
full;129;4;1443.43;
full;130;4;954.52;
full;131;4;910.58;
full;132;4;972.5;
full;133;4;1116.27;
full;134;4;1247.8;
full;135;4;924.73;
full;136;4;1260.62;
full;137;4;1516.62;
full;138;4;1631.47;
full;139;4;1991.1;
full;140;4;1969.59;
full;141;4;1898.53;
full;142;4;1880.54;
full;143;4;2079.54;
full;144;4;1896.26;
full;145;4;1109.79;
full;146;4;1173.57;
full;147;4;1519.45;
full;148;4;1415.24;
full;149;4;1518.09;
full;150;4;1442.86;
full;151;4;1511.22;
full;152;4;1639.02;
full;153;4;1747.1;
full;154;4;2089.23;
full;155;4;1408.31;
full;156;4;1407.02;
full;157;4;1692.33;
full;158;4;1911.55;
full;159;4;2108.42;
full;160;4;1313.11;
full;161;4;1403.59;
full;162;4;1701.42;
full;163;4;1868.27;
full;164;4;2040.23;
full;165;4;597.77;
full;166;4;698.55;
full;167;4;815.18;
full;168;4;898.03;
full;169;4;918.71;
full;170;4;766.46;
full;171;4;848.45;
full;172;4;1068.26;
full;173;4;1145.27;
full;174;4;1235.35;
full;175;4;689.85;
full;176;4;774.46;
full;177;4;1008.78;
full;178;4;1092;
full;179;4;1313.84;
full;0;5;219.45;
full;1;5;220.75;
full;2;5;238.69;
full;3;5;254.39;
full;4;5;243.43;
full;5;5;219.45;
full;6;5;219.45;
full;7;5;260.48;
full;8;5;250.9;
full;9;5;246.32;
full;10;5;282.77;
full;11;5;298.3;
full;12;5;319.03;
full;13;5;311.03;
full;14;5;295.24;
full;15;5;265.39;
full;16;5;305.88;
full;17;5;312.82;
full;18;5;315.83;
full;19;5;310.77;
full;20;5;358.97;
full;21;5;378.13;
full;22;5;380.79;
full;23;5;313.38;
full;24;5;343.49;
full;25;5;374.51;
full;26;5;356.29;
full;27;5;359.3;
full;28;5;398.57;
full;29;5;428.76;
full;30;5;570.07;
full;31;5;550.34;
full;32;5;569.82;
full;33;5;644.66;
full;34;5;576.42;
full;35;5;620.34;
full;36;5;609.72;
full;37;5;583.66;
full;38;5;640.38;
full;39;5;648.03;
full;40;5;313.83;
full;41;5;368.76;
full;42;5;394.95;
full;43;5;384.56;
full;44;5;495.95;
full;45;5;521.73;
full;46;5;548.7;
full;47;5;516.27;
full;48;5;549.21;
full;49;5;618.36;
full;50;5;507.21;
full;51;5;489.48;
full;52;5;600.67;
full;53;5;606.63;
full;54;5;640.81;
full;55;5;390.87;
full;56;5;365.2;
full;57;5;421.53;
full;58;5;406.37;
full;59;5;440.63;
full;60;5;2281.07;
full;61;5;2243.28;
full;62;5;2446.71;
full;63;5;2389.68;
full;64;5;2610.12;
full;65;5;654.89;
full;66;5;759.06;
full;67;5;738;
full;68;5;821.61;
full;69;5;840.76;
full;70;5;856.29;
full;71;5;753.07;
full;72;5;745.76;
full;73;5;851.71;
full;74;5;921.44;
full;75;5;481.35;
full;76;5;418.06;
full;77;5;443.92;
full;78;5;522.38;
full;79;5;530.13;
full;80;5;474.38;
full;81;5;529.59;
full;82;5;513.63;
full;83;5;481.45;
full;84;5;507.94;
full;85;5;894.6;
full;86;5;818.34;
full;87;5;896.01;
full;88;5;917.34;
full;89;5;848.36;
full;90;5;555.74;
full;91;5;699.28;
full;92;5;591.06;
full;93;5;637.96;
full;94;5;633.42;
full;95;5;425.06;
full;96;5;477.68;
full;97;5;446.37;
full;98;5;380.55;
full;99;5;461.17;
full;100;5;722.95;
full;101;5;755.6;
full;102;5;887.62;
full;103;5;969.15;
full;104;5;886.77;
full;105;5;754.46;
full;106;5;778.43;
full;107;5;940.09;
full;108;5;957.42;
full;109;5;1274.59;
full;110;5;689.46;
full;111;5;842.46;
full;112;5;845.07;
full;113;5;866.1;
full;114;5;997.02;
full;115;5;725.46;
full;116;5;829.68;
full;117;5;911.9;
full;118;5;868.94;
full;119;5;931.24;
full;120;5;921.85;
full;121;5;1067.91;
full;122;5;1039.65;
full;123;5;1139.26;
full;124;5;1168.84;
full;125;5;795.07;
full;126;5;809.92;
full;127;5;989.82;
full;128;5;1102.05;
full;129;5;1121.75;
full;130;5;830.19;
full;131;5;985.02;
full;132;5;972.5;
full;133;5;1232.28;
full;134;5;1483.83;
full;135;5;1010.42;
full;136;5;1260.62;
full;137;5;1340.77;
full;138;5;1631.47;
full;139;5;1991.1;
full;140;5;2088.88;
full;141;5;1896.48;
full;142;5;1909.19;
full;143;5;1895.87;
full;144;5;1896.26;
full;145;5;1109.79;
full;146;5;1250.93;
full;147;5;1519.45;
full;148;5;1415.24;
full;149;5;1536.19;
full;150;5;1378.96;
full;151;5;1511.22;
full;152;5;1639.02;
full;153;5;1793.39;
full;154;5;2359.03;
full;155;5;1418.41;
full;156;5;1451.63;
full;157;5;1692.33;
full;158;5;1933.33;
full;159;5;2108.42;
full;160;5;1313.11;
full;161;5;1403.59;
full;162;5;1547.38;
full;163;5;1925.46;
full;164;5;2008.05;
full;165;5;617.34;
full;166;5;698.55;
full;167;5;804.22;
full;168;5;898.03;
full;169;5;896.52;
full;170;5;766.46;
full;171;5;848.45;
full;172;5;1068.26;
full;173;5;1145.27;
full;174;5;1325.11;
full;175;5;689.85;
full;176;5;774.46;
full;177;5;1012.5;
full;178;5;1092;
full;179;5;1313.84;
full;0;6;224.47;
full;1;6;229.31;
full;2;6;260.56;
full;3;6;248.59;
full;4;6;244.54;
full;5;6;226.74;
full;6;6;229.31;
full;7;6;235;
full;8;6;248.26;
full;9;6;257.86;
full;10;6;272.7;
full;11;6;287.74;
full;12;6;286.66;
full;13;6;319;
full;14;6;288.92;
full;15;6;276.76;
full;16;6;305.88;
full;17;6;298.32;
full;18;6;296.76;
full;19;6;317.16;
full;20;6;358.97;
full;21;6;351.41;
full;22;6;380.79;
full;23;6;310.05;
full;24;6;323.41;
full;25;6;376.73;
full;26;6;348.85;
full;27;6;456.61;
full;28;6;384.64;
full;29;6;428.76;
full;30;6;569.23;
full;31;6;609.57;
full;32;6;621.46;
full;33;6;624.79;
full;34;6;561.06;
full;35;6;620.34;
full;36;6;648.96;
full;37;6;595.98;
full;38;6;644.81;
full;39;6;660.92;
full;40;6;339.83;
full;41;6;354.54;
full;42;6;437.95;
full;43;6;368.81;
full;44;6;405.81;
full;45;6;543.16;
full;46;6;570.83;
full;47;6;458.09;
full;48;6;588.44;
full;49;6;642.08;
full;50;6;497.38;
full;51;6;507.3;
full;52;6;529.1;
full;53;6;571.83;
full;54;6;677.63;
full;55;6;369.17;
full;56;6;431.79;
full;57;6;397.07;
full;58;6;485.43;
full;59;6;430.02;
full;60;6;2227.16;
full;61;6;2243.28;
full;62;6;2446.71;
full;63;6;2457.21;
full;64;6;2492.84;
full;65;6;674.71;
full;66;6;715.17;
full;67;6;757.21;
full;68;6;821.61;
full;69;6;789.36;
full;70;6;863.61;
full;71;6;753.07;
full;72;6;745.76;
full;73;6;807.53;
full;74;6;959.83;
full;75;6;481.35;
full;76;6;418.06;
full;77;6;443.92;
full;78;6;520.34;
full;79;6;530.13;
full;80;6;454.01;
full;81;6;526.16;
full;82;6;504.34;
full;83;6;450.19;
full;84;6;557.42;
full;85;6;860.87;
full;86;6;818.34;
full;87;6;896.03;
full;88;6;902.73;
full;89;6;834.44;
full;90;6;555.74;
full;91;6;699.28;
full;92;6;606.71;
full;93;6;645.62;
full;94;6;750.63;
full;95;6;401.55;
full;96;6;419.76;
full;97;6;446.37;
full;98;6;425.15;
full;99;6;461.17;
full;100;6;690.89;
full;101;6;799.26;
full;102;6;887.62;
full;103;6;969.15;
full;104;6;1009.49;
full;105;6;754.46;
full;106;6;778.43;
full;107;6;864.02;
full;108;6;882.48;
full;109;6;1175.62;
full;110;6;689.46;
full;111;6;842.46;
full;112;6;925.01;
full;113;6;803.72;
full;114;6;997.02;
full;115;6;725.46;
full;116;6;829.68;
full;117;6;911.9;
full;118;6;868.94;
full;119;6;899.95;
full;120;6;921.85;
full;121;6;1067.91;
full;122;6;1039.65;
full;123;6;1101.27;
full;124;6;1260.72;
full;125;6;795.07;
full;126;6;809.92;
full;127;6;1017.94;
full;128;6;1102.05;
full;129;6;1049.49;
full;130;6;941.08;
full;131;6;919.51;
full;132;6;972.5;
full;133;6;1160.82;
full;134;6;1435.6;
full;135;6;1010.42;
full;136;6;1231.02;
full;137;6;1340.77;
full;138;6;1585.28;
full;139;6;1991.1;
full;140;6;1969.46;
full;141;6;1819.44;
full;142;6;1850.67;
full;143;6;2199.9;
full;144;6;1896.26;
full;145;6;1109.79;
full;146;6;1250.93;
full;147;6;1519.45;
full;148;6;1415.24;
full;149;6;1640.2;
full;150;6;1442.86;
full;151;6;1511.22;
full;152;6;1639.02;
full;153;6;1834.31;
full;154;6;2240.22;
full;155;6;1418.41;
full;156;6;1451.63;
full;157;6;1692.33;
full;158;6;2019.72;
full;159;6;2108.42;
full;160;6;1313.11;
full;161;6;1403.59;
full;162;6;1641.01;
full;163;6;1783.58;
full;164;6;2142.43;
full;165;6;614.35;
full;166;6;696.38;
full;167;6;804.22;
full;168;6;890.73;
full;169;6;899.07;
full;170;6;766.46;
full;171;6;848.45;
full;172;6;1068.26;
full;173;6;1145.27;
full;174;6;1405.24;
full;175;6;689.85;
full;176;6;774.46;
full;177;6;1012.5;
full;178;6;1092;
full;179;6;1301.56;
full;0;7;219.45;
full;1;7;236.34;
full;2;7;226.74;
full;3;7;259.82;
full;4;7;251.43;
full;5;7;220.75;
full;6;7;241.37;
full;7;7;230.33;
full;8;7;263.92;
full;9;7;286.42;
full;10;7;297.94;
full;11;7;272.7;
full;12;7;326.88;
full;13;7;327.27;
full;14;7;357.59;
full;15;7;272.7;
full;16;7;274.73;
full;17;7;318.18;
full;18;7;299.27;
full;19;7;284.04;
full;20;7;358.97;
full;21;7;367.03;
full;22;7;375.31;
full;23;7;350.31;
full;24;7;325.45;
full;25;7;355.1;
full;26;7;356.46;
full;27;7;414.75;
full;28;7;398.02;
full;29;7;428.76;
full;30;7;553.18;
full;31;7;524.86;
full;32;7;559.21;
full;33;7;566.13;
full;34;7;577.58;
full;35;7;604.28;
full;36;7;648.96;
full;37;7;618.58;
full;38;7;628.13;
full;39;7;643.76;
full;40;7;345.14;
full;41;7;426.41;
full;42;7;380.54;
full;43;7;365.46;
full;44;7;531.3;
full;45;7;534.71;
full;46;7;570.83;
full;47;7;525.37;
full;48;7;554.98;
full;49;7;616.79;
full;50;7;488.28;
full;51;7;514.47;
full;52;7;591.62;
full;53;7;577.43;
full;54;7;665.36;
full;55;7;390.87;
full;56;7;363.15;
full;57;7;474.33;
full;58;7;496.77;
full;59;7;427.62;
full;60;7;2266.1;
full;61;7;2243.28;
full;62;7;2419.56;
full;63;7;2230.22;
full;64;7;2696.66;
full;65;7;641.44;
full;66;7;696.09;
full;67;7;744.95;
full;68;7;813.14;
full;69;7;789.36;
full;70;7;766.53;
full;71;7;775.05;
full;72;7;744.56;
full;73;7;807.53;
full;74;7;944.48;
full;75;7;481.35;
full;76;7;452.44;
full;77;7;462.56;
full;78;7;479.48;
full;79;7;502.8;
full;80;7;505.12;
full;81;7;476.39;
full;82;7;454.6;
full;83;7;476.34;
full;84;7;549.13;
full;85;7;806.44;
full;86;7;818.34;
full;87;7;1127.96;
full;88;7;932.46;
full;89;7;870.51;
full;90;7;567.9;
full;91;7;528.42;
full;92;7;648.17;
full;93;7;721.5;
full;94;7;775.83;
full;95;7;419.12;
full;96;7;477.68;
full;97;7;424.8;
full;98;7;402.22;
full;99;7;461.17;
full;100;7;798.01;
full;101;7;746.26;
full;102;7;887.62;
full;103;7;903.98;
full;104;7;1009.49;
full;105;7;754.46;
full;106;7;778.43;
full;107;7;864.02;
full;108;7;896.77;
full;109;7;1175.62;
full;110;7;689.46;
full;111;7;736.14;
full;112;7;925.01;
full;113;7;803.72;
full;114;7;997.02;
full;115;7;725.46;
full;116;7;829.68;
full;117;7;837.96;
full;118;7;868.94;
full;119;7;960.14;
full;120;7;889.37;
full;121;7;1058.71;
full;122;7;1039.65;
full;123;7;1080.88;
full;124;7;1168.84;
full;125;7;765.15;
full;126;7;807.31;
full;127;7;1160.84;
full;128;7;1214.93;
full;129;7;1120.24;
full;130;7;865.66;
full;131;7;919.51;
full;132;7;972.5;
full;133;7;1196.6;
full;134;7;1472.82;
full;135;7;1010.42;
full;136;7;1231.02;
full;137;7;1134.21;
full;138;7;1631.47;
full;139;7;1991.1;
full;140;7;1893.47;
full;141;7;1791.04;
full;142;7;1934.5;
full;143;7;2185.68;
full;144;7;1896.26;
full;145;7;1109.79;
full;146;7;1250.93;
full;147;7;1519.45;
full;148;7;1415.24;
full;149;7;1536.19;
full;150;7;1378.96;
full;151;7;1511.22;
full;152;7;1615.9;
full;153;7;1855.57;
full;154;7;2377.16;
full;155;7;1418.41;
full;156;7;1478.84;
full;157;7;1523.49;
